# t, p, e, x, pp, pt, pr
0.000000000000000000e+00,1.200000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.199999913611930502e+01,3.999999577883425750e-01,1.000000000000000000e+00,3.979491276250489429e-02,3.979491276250489429e-02,2.804484920852656077e-02
5.183913024136251124e+01,1.199999552171494166e+01,3.999997811783209123e-01,1.000000000000000000e+00,2.062934366201291114e-01,2.062934366201291114e-01,1.453820974165234148e-01
2.192504355450847413e+02,1.199998105932157877e+01,3.999990745050675534e-01,1.000000000000000000e+00,8.725066774497411970e-01,8.725066774497411970e-01,6.148853514691372535e-01
7.571633330274949003e+02,1.199993458942386759e+01,3.999968038571886098e-01,1.000000000000000000e+00,3.013143151732647684e+00,3.013143151732647684e+00,2.123463151739896748e+00
2.695105605521073358e+03,1.199976716610673044e+01,3.999886231174092921e-01,1.000000000000000000e+00,1.072538300029980718e+01,1.072538300029980718e+01,7.558510972640364756e+00
7.758697870863044045e+03,1.199932966693162761e+01,3.999672459673402347e-01,1.000000000000000000e+00,3.087761259545393244e+01,3.087761259545393244e+01,2.176021414532394971e+01
3.307665919757290249e+04,1.199714122177950593e+01,3.998603181831603681e-01,1.000000000000000000e+00,1.316636215575394999e+02,1.316636215575394999e+02,9.278233537367739814e+01
8.180021120356136817e+04,1.199292517414559178e+01,3.996543418655337243e-01,1.000000000000000000e+00,3.257395866156111879e+02,3.257395866156111879e+02,2.295258478098538433e+02
1.675080600799114327e+05,1.198549458422078295e+01,3.992913837222702433e-01,1.000000000000000000e+00,6.675053254790377650e+02,6.675053254790377650e+02,4.702707793925961823e+02
3.181871399574035895e+05,1.197238674724601282e+01,3.986513167381708356e-01,1.000000000000000000e+00,1.269508177136119230e+03,1.269508177136119230e+03,8.941472010991465140e+02
5.869116519646930974e+05,1.194886772654194651e+01,3.975035204497018304e-01,1.000000000000000000e+00,2.346831556988870943e+03,2.346831556988870943e+03,1.652114509500810755e+03
1.009230273657734040e+06,1.191153094912747612e+01,3.956831254744345716e-01,1.000000000000000000e+00,4.049612464434369940e+03,4.049612464434369940e+03,2.848582038837485470e+03
1.651321802698194515e+06,1.185385960164992269e+01,3.928755624200562790e-01,1.000000000000000000e+00,6.661675558955792440e+03,6.661675558955792440e+03,4.680218713533062328e+03
2.531734659633570816e+06,1.177292842976194898e+01,3.889445559382173068e-01,1.000000000000000000e+00,1.029004187549180278e+04,1.029004187549180278e+04,7.216831071840231743e+03
3.579913775352409575e+06,1.167360570257535990e+01,3.841347866296473956e-01,1.000000000000000000e+00,1.468330357482731051e+04,1.468330357482731051e+04,1.027588601578383350e+04
4.666359492000701837e+06,1.156699074889592893e+01,3.789902869116641426e-01,1.000000000000000000e+00,1.932552782853612734e+04,1.932552782853612734e+04,1.349313055841364803e+04
5.330176503612498753e+06,1.149987803336103909e+01,3.757619442119665698e-01,1.000000000000000000e+00,2.220844996371104571e+04,2.220844996371104571e+04,1.548299476935487291e+04
5.759675240160859190e+06,1.145561181198380218e+01,3.736369382318779353e-01,1.000000000000000000e+00,2.409327762217892450e+04,2.409327762217892450e+04,1.678049447816493557e+04
6.226921886960967444e+06,1.140667010447791618e+01,3.712915689524136087e-01,1.000000000000000000e+00,2.616169180719541328e+04,2.616169180719541328e+04,1.820116490757661813e+04
6.907287538663704880e+06,1.133387658307078460e+01,3.678112468425758230e-01,1.000000000000000000e+00,2.920795570918059457e+04,2.920795570918059457e+04,2.028721595983114094e+04
7.857467040643258952e+06,1.122899228012229322e+01,3.628139989571624868e-01,1.000000000000000000e+00,3.353337184746262210e+04,3.353337184746262210e+04,2.323605249332722087e+04
8.807646542622813955e+06,1.112004863913020003e+01,3.576457065890408238e-01,1.000000000000000000e+00,3.794601814076248411e+04,3.794601814076248411e+04,2.622782354551534445e+04
9.645478720926500857e+06,1.102031560475637129e+01,3.529350147222607426e-01,1.000000000000000000e+00,4.191353737151435780e+04,4.191353737151435780e+04,2.890292782174410240e+04
1.009651711143535003e+07,1.096509224341726885e+01,3.503353749604184442e-01,1.000000000000000000e+00,4.408062246409436921e+04,4.408062246409436921e+04,3.035792304205122127e+04
1.073971638901004940e+07,1.088435782301914401e+01,3.465462671317854904e-01,1.000000000000000000e+00,4.721045337650195142e+04,4.721045337650195142e+04,3.245136957215444272e+04
1.138291566658475064e+07,1.080114108480711721e+01,3.426552305457417624e-01,1.000000000000000000e+00,5.038863835862279666e+04,5.038863835862279666e+04,3.456725315674050944e+04
1.213471490915520862e+07,1.070047766799912203e+01,3.379687542907207631e-01,1.000000000000000000e+00,5.416787145829669316e+04,5.416787145829669316e+04,3.706979444707826042e+04
1.288651415172566660e+07,1.059583110815626839e+01,3.331211800838835280e-01,1.000000000000000000e+00,5.802049071892496431e+04,5.802049071892496431e+04,3.960519871400600096e+04
1.354594509128139727e+07,1.050045572802337013e+01,3.287254101570672438e-01,1.000000000000000000e+00,6.146380493534621928e+04,6.146380493534621928e+04,4.185718670719122747e+04
1.420537603083712794e+07,1.040141176824933211e+01,3.241838494425540729e-01,1.000000000000000000e+00,6.497058536731422646e+04,6.497058536731422646e+04,4.413642004376329714e+04
